key,source,name,address,city,country,zipcode
139938,expedia,Casablanca Hotel,147 W 43rd St,New York,US,10036
140901,expedia,Hotel Newton,2528 Broadway,New York,US,10025
141417,expedia,The Peninsula New York,700 Fifth Avenue at 55th street,New York,US,10019
137840,expedia,BROADWAY AT TIMES SQUARE HOTEL,129 WEST 46TH STREET,New York,US,10036
138167,expedia,Courtyard by Marriott New York City Manhattan Midtown East,866 3rd Avenue,New York,US,10022
140893,expedia,The Belvedere Hotel,319 W 48th St,New York,US,10036
143688,expedia,Fitzpatrick Manhattan Hotel,687 Lexington Ave,New York,US,10022
144414,expedia,Avalon Hotel,16 E 32nd Street,New York,US,10016
142043,expedia,Hotel Pennsylvania,401 7th Ave,New York,US,10001
139910,expedia,Hotel Elysee,60 E 54th St,New York,US,10022
139959,expedia,Washington Jefferson Hotel,318 W 51st St,New York,US,10019
140878,expedia,The Moderne,243 W 55th St,New York,US,10019
140899,expedia,Americana Inn,69 W 38th St,New York,US,10018
140911,expedia,Manhattan Broadway Budget Hotel,273 W 38th St,New York,US,10018
143863,expedia,THE TIME,224 W 49th Street,New York,US,10019
148866,expedia,Crowne Plaza Times Square Manhattan,1605 Broadway At 49th St,New York,US,10019
145146,expedia,"The Paramount - A Times Square, New York Hotel",235 W 46th Street,New York,US,10036
150310,expedia,On The Ave Hotel,2178 Broadway at W 77th St,New York,US,10024
143951,expedia,Bentley Hotel,500 E 62nd St,New York,US,10065
144360,expedia,Fitzpatrick Grand Central,141 E 44th St,New York,US,10017
150387,expedia,Millennium Broadway Hotel - Times Square,145 W 44th St,New York,US,10036
150406,expedia,Days Hotel Broadway,215 W 94th St,New York,US,10025
153584,expedia,Comfort Inn Central Park West,31 W 71st St,New York,US,10023
152238,expedia,Mayfair New York,242 W 49th St,New York,US,10019
163194,expedia,Best Western Plus President Hotel at Times Square,234 W 48th St,New York,US,10036
149429,expedia,Radisson Martinique on Broadway,49 W 32nd St,New York,US,10001
163790,expedia,Hampton Inn Times Square North,851 8th Ave,New York,US,10019
163794,expedia,The Iroquois,49 West 44th Street,New York,US,10036
163820,expedia,Hotel Sofitel New York,45 W 44th St,New York,US,10036
163823,expedia,King & Grove New York,29 East 29th Street,New York,US,10016
163728,expedia,Ameritania at Times Square,230 W 54th Street,New York,US,10019
163758,expedia,Amsterdam Court Hotel,226 W 50th St,New York,US,10019
163765,expedia,Hotel Belleclaire,250 W 77th St,New York,US,10024
163809,expedia,Club Quarters Midtown - Times Square,40 W 45th St,New York,US,10036
169343,expedia,Conrad New York,102 North End Avenue,New York,US,10282
163766,expedia,Belnord Hotel,209 West 87th Street,New York,US,10024
163777,expedia,Hilton Times Square,234 W 42nd St,New York,US,10036
163785,expedia,Hotel Grand Union,34 E 32nd St,New York,US,10016
163796,expedia,DoubleTree by Hilton Metropolitan - New York City,569 Lexington Ave,New York,US,10022
164312,expedia,Tribeca Grand Hotel,2 Avenue Of The Americas,New York,US,10013
152696,expedia,"Gild Hall, A Thompson Hotel",15 Gold Street,New York,US,10038
170510,expedia,The Library Hotel,299 Madison Ave,New York,US,10017
170490,expedia,Hotel Giraffe,365 Park Ave S,New York,US,10016
172653,expedia,Hudson,356 W 58th St,New York,US,10019
172820,expedia,Broadway Plaza Hotel,1155 Broadway,New York,US,10001
174153,expedia,Dylan Hotel,52 E 41st St,New York,US,10017
171177,expedia,"The Muse Hotel, a Kimpton Hotel",130 W 46th St,New York,US,10036
174141,expedia,W New York - Union Square,201 Park Ave S,New York,US,10003
181076,expedia,Park 79 Hotel,117 W 79th Street,New York,US,10024
179766,expedia,The Roger Smith Hotel,501 Lexington Ave,New York,US,10017
183435,expedia,The Waldorf Towers,100 E 50th St,New York,US,10022
183263,expedia,Best Western Plus Seaport Inn Downtown,33 Peck Slip,New York,US,10038
189272,expedia,Hotel 17,225 E 17th St,New York,US,10003
189672,expedia,Chelsea Star Hotel & Hostel,300 W 30th St,New York,US,10001
192073,expedia,The Bryant Park Hotel,40 W 40th St,New York,US,10018
192357,expedia,"Club Quarters, Wall Street",52 William St,New York,US,10005
198937,expedia,The Kimberly Hotel,145 E 50th St,New York,US,10022
197409,expedia,Hotel 31,120 E 31st St,New York,US,10016
197539,expedia,The Wall Street Inn,9 S William St,New York,US,10004
198683,expedia,The Sherry Netherland,781 5th Ave,New York,US,10022
196447,expedia,"The Ritz-Carlton New York, Battery Park",2 West St,New York,US,10004
199889,expedia,W New York Times Square,1567 Broadway At 47th St,New York,US,10036
198706,expedia,City Club Hotel,55 W 44th St,New York,US,10036
196022,expedia,Quality Inn Convention Center,442 W 36th Street,New York,US,10018
200002,expedia,MURRAY HILL INN,143 EAST 30TH STREET,New York,US,10016
200004,expedia,THE QUIN,101 WEST 57TH ST,NEW YORK,US,10019
196593,expedia,Park South Hotel,124 E 28th,New York,US,10016
200494,expedia,CHURCHILL AT 300 EAST 39TH,300 East 39th Street,New York,US,10016
200512,expedia,"The GEM Hotel-SoHo, an Ascend Hotel Collection Member",135 E Houston St,New York,US,10002
197983,expedia,Hotel Chandler,12 E 31st St,New York,US,10016
203729,expedia,Hotel Stanford,43 W 32nd St,New York,US,10001
200065,expedia,Le Parker Meridien New York,119 W. 56th Street,New York,US,10019
202307,expedia,Bedford Hotel,118 E 40th St,New York,US,10016
203420,expedia,The Sohotel,341 Broome St,New York,US,10013
203621,expedia,Best Western Convention Center Hotel,522 W 38th St,New York,US,10018
206612,expedia,MINETTA SUITES,9 Minetta Street Building B,New York,US,10012
207138,expedia,Hampton Inn New York Chelsea,108 W 24th St,New York,US,10011
205514,expedia,Park Savoy Hotel,158 W 58th St,New York,US,10019
213134,expedia,Hampton Inn Manhattan-Seaport-Financial District,320 Pearl Street,New York,US,10038
206674,expedia,Hotel Metro,45 W 35th St,New York,US,10001
211803,expedia,"Mandarin Oriental, New York",80 Columbus Circle at 60th Street,New York,US,10023
219433,expedia,Affinia Manhattan,371 7th Ave,New York,US,10001
217460,expedia,Hotel St. James,109 W. 45TH ST.,New York,US,10036
218485,expedia,Four Points by Sheraton Manhattan - Chelsea,160 W 25th St,New York,US,10001
219391,expedia,The Benjamin,125 E 50th St,New York,US,10022
219447,expedia,Affinia Shelburne,303 Lexington Avenue,New York,US,10016
217106,expedia,The Milburn Hotel,242 W 76th St,New York,US,10023
217136,expedia,Best Western Plus Hospitality House,145 E 49th Street,New York,US,10017
217421,expedia,CHURCHILL AT 777 6TH AVE,777 6th Avenue,New York,US,10001
215798,expedia,The Alex,205 E 45th St,New York,US,10017
221403,expedia,Seton Hotel,144 E 40th Street,New York,US,10016
219432,expedia,Affinia 50 Hotel,155 E 50th St,New York,US,10022
222985,expedia,"The Solita Soho Hotel, an Ascend Hotel Collection Member",159 Grand St,New York,US,10013
217698,expedia,UNITED NATIONS SUITES,250 E 39TH STREET,New York,US,10016
225936,expedia,Room Mate Grace,125 W 45th St,New York,US,10036
226121,expedia,Westin New York at Times Square,270 W 43rd Street,New York,US,10036
223558,expedia,Hampton Inn Madison Square Garden Area Hotel,116 W 31 Street,New York,US,10001
225633,expedia,Hotel On Rivington,107 Rivington Street,New York,US,10002
231553,expedia,"The Pierre, A Taj Hotel, New York",2 E 61st St,New York,US,10065
229259,expedia,Hotel Carter,250 W 43rd St,New York,US,10036
229527,expedia,AKA UNITED NATIONS,234 East 46TH Street,New York,US,10017
229528,expedia,Renaissance New York Hotel 57,130 East 57th Street,New York,US,10022
241086,expedia,"Club Quarters, opposite Rockefeller Center",25 West 51st St Entrance A,New York,US,10019
235899,expedia,Courtyard by Marriott New York Manhattan/Upper East Side,410 E 92nd St,New York,US,10128
240327,expedia,Econo Lodge Times Square,302 W 47th St,New York,US,10036
242237,expedia,YOUR STAY - BROADWAY-HERALD TOW,50 W 34TH STREET,New York,US,10001
238294,expedia,MANHATTAN CENTRE HOTEL,25 WEST 51ST ENTRANCE B,New York,US,10019
244448,expedia,Wingate by Wyndham Manhattan Midtown,235 W 35th St,New York,US,10001
246640,expedia,Hotel 373 Fifth Avenue,373 5th Ave,New York,US,10016
249659,expedia,Hilton Garden Inn Tribeca,39 Avenue of the Americas,New York,US,10013
244926,expedia,Hotel Mela,120 W 44th St,New York,US,10036
253420,expedia,Hilton Garden Inn New York/Chelsea,121 W 28th St,New York,US,10001
251284,expedia,"The GEM Hotel - Midtown West, an Ascend Collection hotel",449 W 36th St,New York,US,10018
253761,expedia,CHURCHILL AT 360 EAST 65,The Easton 360 East 65th St,New York,US,10017
259083,expedia,The Desmond Tutu Center,180 Tenth Ave,New York,US,10011
259235,expedia,Hotel Azure,120 Lafayette St,New York,US,10013
260426,expedia,Duane Street Hotel Tribeca,130 Duane St,New York,US,10013
257190,expedia,Hilton Club New York,1335 Avenue of the Americas,New York,US,10019
256774,expedia,Hotel 309,309 W 14th St,New York,US,10014
258349,expedia,Comfort Inn Times Square South Area,305 West 39th Street,New York,US,10018
265087,expedia,New World Hotel,101 Bowery,New York,US,10002
260469,expedia,Hotel East Houston,151 E Houston St,New York,US,10002
266936,expedia,Wyndham Garden - Manhattan Chelsea West,37 W 24th Street,New York,US,10010
263234,expedia,Holiday Inn Express - Madison Square Garden,232 W 29th St,New York,US,10001
262491,expedia,Hampton Inn Manhattan Soho,54 Watts St,New York,US,10013
263989,expedia,Holiday Inn Express New York City Fifth Avenue,15 West 45th Street,New York,US,10036
270602,expedia,Holiday Inn Express New York City Times Square,343 W 39th Street,New York,US,10018
266211,expedia,Holiday Inn Manhattan 6th Avenue,125 W 26th St,New York,US,10001
272526,expedia,Hampton Inn New York - 35th Street - Empire State Building,59 W 35th St,New York,US,10001
266457,expedia,Windsor Hotel,108 Forsyth St,New York,US,10002
267335,expedia,Best Western Bowery Hanbee Hotel,231 Grand St,New York,US,10013
273466,expedia,Hampton Inn Manhattan/Times Square South,337 West 39th Street,New York,US,10018
269032,expedia,The Hotel 91,91 E Broadway,New York,US,10002
273736,expedia,DoubleTree by Hilton Hotel New York - Times Square South,341 West 36th Street,New York,US,10018
274141,expedia,"ink48 hotel, a Kimpton Hotel",653 11th Avenue,New York,US,10036
271760,expedia,"The Standard, East Village",25 Cooper Square,New York,US,10003
278721,expedia,Hilton Garden Inn New York/West 35th Street,63 West 35th Street,New York,US,10001
272124,expedia,Holiday Inn New York City - Wall Street,51 Nassau St.,New York,US,10038
279075,expedia,DoubleTree by Hilton New York City - Chelsea,128 West 29th Street,New York,US,10001
308872,expedia,The Jane Hotel,113 Jane St,New York,US,10014
275398,expedia,Four Points by Sheraton Manhattan SoHo Village,66 Charlton St,New York,US,10013
276597,expedia,"GEM Hotel - Chelsea, an Ascend Hotel Collection Member",300 W 22nd Street,New York,US,10011
307954,expedia,Hotel Indigo NYC Chelsea,127 West 28th Street,New York,US,10001
312110,expedia,The Strand Hotel,33 West 37 Street,New York,US,10018
309093,expedia,Fairfield Inn by Marriott New York Manhattan/Times Square,330 West 40th Street,New York,US,10018
309378,expedia,The St. Regis New York,2 East  55th St,New York,US,10022
310147,expedia,Carvi Hotel New York,152 E 55th St,New York,US,10022
310373,expedia,West 57th Street by Hilton Club,102 West 57th Street,New York,US,10019
323397,expedia,The MAve nyc,62 Madison Avenue,New York,US,10016
324037,expedia,Four Points by Sheraton Midtown-Times Square,326 W 40th Sreet,New York,US,10018
311346,expedia,Holiday Inn Express New York City- Wall Street,126 Water St,New York,US,10005
311820,expedia,Comfort Inn Manhattan Bridge,61-63 Chrystie Street,New York,US,10002
325735,expedia,Trump Soho New York,246 Spring Street,New York,US,10013
326046,expedia,"Distrikt Hotel New York City, an Ascend Collection Hotel",342 W 40th St,New York,US,10018
324226,expedia,Andaz Wall Street - a Hyatt Hotel,75 Wall St,New York,US,10005
322838,expedia,Comfort Inn Theatre District,343 W 44th St,New York,US,10036
332678,expedia,Flatiron Hotel,9 West 26th Street,New York,US,10010
332763,expedia,World Center Hotel,144 Washington St,New York,US,10006
325235,expedia,Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,21 W 37th St,New York,US,10018
339551,expedia,Courtyard by Marriott New York Manhattan/Times Square South,114 W 40th St,New York,US,10018
326792,expedia,Upper West Side Brownstone,110 West 81st Street,New York,US,10024
332637,expedia,Club Quarters World Trade Center,140 Washington St,New York,US,10006
332968,expedia,UPPER YORKVILLE SUITES,1876 Third Avenue,NEW YORK,US,10029
341928,expedia,CHELSEA PINES INN,317 West 14th Street,New York,US,10014
341945,expedia,JET LUXURY AT TRUMP SOHO,246A Spring Street,New York,US,10013
336187,expedia,Hilton New York Fashion District,152 W 26th Street,New York,US,10001
344720,expedia,The Nolitan,30 Kenmare St,New York,US,10012
348293,expedia,Mondrian Soho,9 Crosby Street,New York,US,10013
335850,expedia,Comfort Inn Lower East Side,136 Ludlow Street,New York,US,10002
340156,expedia,InterContinental - New York Times Square,300 W 44th St,New York,US,10036
349751,expedia,Andaz 5th Avenue- a Hyatt Hotel,485 5th Ave,New York,US,10017
351668,expedia,CHURCHILL AT 235 WEST 56TH,235 West 56TH Street,New York,US,10019
342238,expedia,THE CENTRIA,18 West 48th Street,New York,US,10036
339013,expedia,"Eventi Hotel, a Kimpton Hotel",851 Avenue of the Americas,New York,US,10001
343224,expedia,Chelsea Savoy Hotel,204 W 23rd Street,New York,US,10011
353129,expedia,The James New York,27 Grand St,New York,US,10013
352605,expedia,HOTEL MULBERRY,52 Mulberry Street,New York,US,10013
352611,expedia,The Setai Fifth Avenue,400 Fifth Avenue,New York,US,10018
341910,expedia,W New York - Downtown,123 Washington Street,New York,US,10006
342250,expedia,1600 BROADWAY ON THE SQUARE,1600 Broadway,New York,US,10019
355972,expedia,Courtyard by Marriott New York Manhattan/SoHo,181 Varick St,New York,US,10014
356439,expedia,"The Chatwal, A Luxury Collection Hotel",130 W 44th St,New York,US,10036
358950,expedia,Aloft Harlem,2296 Frederick Douglass Boulevard,New York,US,10027
351449,expedia,Sheraton Tribeca New York Hotel,370 Canal Street,New York,US,10013
361504,expedia,The Pearl New York,233 West 49th Street,New York,US,10019
360465,expedia,DoubleTree by Hilton New York City - Financial District,8 Stone St,New York,US,10004
352529,expedia,Cassa Hotel,70 W 45th St,New York,US,10036
365654,expedia,Fairfield Inn & Suites by Marriott New York ManhattanChelsea,116 W 28th St,New York,US,10001
370576,expedia,Sanctuary Hotel New York,132 West 47th Street,New York,US,10036
361485,expedia,The Jewel facing Rockefeller Center,11 West 51st Street,New York,US,10017
364443,expedia,Holiday Inn New York City Midtown 31st Street,30-32 West 31st Street,New York,US,10001
377242,expedia,YOTEL New York at Times Square,570 10th Avenue,New York,US,10036
370651,expedia,The Towers at The New York Palace,455 Madison Avenue,New York,US,10022
374895,expedia,Hyatt 48 Lex,517 Lexington Avenue,New York,US,10017
377966,expedia,Hotel Americano,518 W 27th St,New York,US,10001
381077,expedia,HOTEL VERITE,893 Broadway,New York,US,10003
383834,expedia,Dream Downtown,355 W 16th St,New York,US,10011
390179,expedia,TRYP By Wyndham Times Square South,345 W 35th Street,New York,US,10001
399735,expedia,EXECUSTAY AT THE YORK,488 Seventh Avenue,New York,US,10018
407095,expedia,Wyndham Garden Chinatown,93 Bowery,New York,US,10002
401177,expedia,THE NOMAD HOTEL,1170 Broadway,New York,US,10001
410799,expedia,Holiday Inn Nyc - Lower East Side,150 Delancey St,New York,US,10002
402509,expedia,The Out NYC,510 W 42nd St,New York,US,10036
413222,expedia,Comfort Inn,548 W 48th St,New York,US,10036
416820,expedia,The Westin New York Grand Central,212 East 42nd Street,New York,US,10017
417043,expedia,Howard Johnson Manhattan Soho,5 Allen St,New York,US,10002
415836,expedia,Pod 39,145 East 39th Street,New York,US,10016
417755,expedia,Carlton Arms Hotel,160 East 25th Street,New York,US,10010
409752,expedia,Tribeca Blu Hotel,276 Canal Street,New York,US,10013
418815,expedia,"West Tower at ONE UN New York, formerly Millennium UN Plaza",One United Nations Plaza,New York,US,10017
414769,expedia,Hyatt Place New York Midtown South,52 West 36th Street,New York,US,10018
421370,expedia,THE JADE HOTEL GREENWICH VILLA,52 West 13th Street,New York,US,10011
422002,expedia,Holiday Inn Express NYC-Herald Square 36th St.,60 West 36th Street,New York,US,10001
423782,expedia,Hampton Inn Manhattan/Downtown-Financial District,32 Pearl St,New York,US,10004
424023,expedia,Refinery Hotel New York,63 W 38th St,New York,US,10018
424524,expedia,Fairfield Inn New York Midtown Manhattan/Penn Station,325 W 33rd St,New York,US,10001
418634,expedia,Hotel Five44,544 West 48 St,New York,US,10036
426344,expedia,Hampton Inn Manhattan/United Nations,231 E 43rd St,New York,US,10017
422103,expedia,Holiday Inn Express New York - Manhattan West Side,538 West 48th Street,New York,US,10036
422438,expedia,HOLIDAY INN EXP HERALD SQUARE,60 West 36th street,New York,US,10001
421592,expedia,HYATT UNION SQUARE NEW YORK,132 Fourth Avenue,New York,US,10003
427937,expedia,Courtyard New York Manhattan/herald Square,71 W 35th St,New York,US,10001
428011,expedia,SpringHill Suites New York Midtown Manhattan/Fifth Avenue,25 West 37th St,New York,US,10018
430306,expedia,BEST WESTERN PREMIER HERALD SQ,50 W 36th Street,New York,US,10018
428520,expedia,CLUB QUARTERS THE ANNEX AT ROC,11 A West 51st Street,New York,US,10019
430580,expedia,Club Quarters Grand Central,128 East 45th Street,New York,US,10017
105310,expedia,The Westin St Francis on Union Square,335 Powell Street,San Francisco,US,94102
105656,expedia,Sheraton Fisherman's Wharf,2500 Mason St,San Francisco,US,94133
106066,expedia,Grand Hyatt San Francisco Union Square,345 Stockton St,San Francisco,US,94108
106067,expedia,Hyatt Regency San Francisco,5 Embarcadero Center,San Francisco,US,94111
106236,expedia,InterContinental Mark Hopkins,1 Nob Hill,San Francisco,US,94108
106346,expedia,Marriott San Francisco Fisherman's Wharf,1250 Columbus Ave,San Francisco,US,94133
107232,expedia,Holiday Inn Golden Gateway,1500 Van Ness Ave,San Francisco,US,94109
107230,expedia,Holiday Inn Civic Center San Francisco,50 8th St,San Francisco,US,94103
107229,expedia,Hilton San Francisco Downtown/Financial District,750 Kearny St,San Francisco,US,94108
107231,expedia,Holiday Inn San Francisco-Fisherman's Wharf,1300 Columbus Ave,San Francisco,US,94133
108742,expedia,Mandarin Oriental San Francisco,222 Sansome St,San Francisco,US,94104
109249,expedia,Courtyard San Francisco Fisherman's Wharf,580 Beach St,San Francisco,US,94133
109623,expedia,Comfort Inn by the Bay,2775 Van Ness Ave,San Francisco,US,94109
111236,expedia,Civic Center Inn,790 Ellis St,San Francisco,US,94109
111222,expedia,Travelodge at the Presidio,2755 Lombard St,San Francisco,US,94123
111190,expedia,Greenwich Inn,3201 Steiner St,San Francisco,US,94123
109796,expedia,Beresford Hotel,635 Sutter St,San Francisco,US,94102
109830,expedia,City Center Inn & Suites,240 7th Street,San Francisco,US,94103
111409,expedia,Radisson Hotel Fisherman's Wharf,250 Beach St,San Francisco,US,94133
110021,expedia,Le Meridien San Francisco,333 Battery St,San Francisco,US,94111
111824,expedia,da Vinci Villa,2550 Van Ness Ave,San Francisco,US,94109
111932,expedia,The Powell Hotel,28 Cyril Magnin St,San Francisco,US,94102
112183,expedia,Renaissance San Francisco Stanford Court Hotel,905 California Street,San Francisco,US,94108
112932,expedia,Hilton San Francisco Union Square,333 O'Farrell St.,San Francisco,US,94102
113571,expedia,Hotel Vertigo,940 Sutter Street,San Francisco,US,94109
113569,expedia,Monarch Hotel,1015 Geary St,San Francisco,US,94109
114219,expedia,The Westin San Francisco Market Street,50 3rd St,San Francisco,US,94103
114822,expedia,"Sir Francis Drake, a Kimpton Hotel",450 Powell Street,San Francisco,US,94102
115783,expedia,The Fairmont San Francisco,950 Mason Street Atop Nob Hill,San Francisco,US,94108
115065,expedia,Clift,495 Geary St,San Francisco,US,94102
114653,expedia,King George Hotel - Union Square,334 Mason At Geary,San Francisco,US,94102
115134,expedia,Taj Campton Place,340 Stockton St,San Francisco,US,94108
116555,expedia,Hotel Diva,440 Geary St,San Francisco,US,94102
116620,expedia,Travelodge By The Bay,1450 Lombard St,San Francisco,US,94123
115131,expedia,Queen Anne Hotel,1590 Sutter St,San Francisco,US,94109
115183,expedia,Ramada Limited San Francisco,1940 Lombard St,San Francisco,US,94123
117069,expedia,Hotel Abri - Union Square,127 Ellis Street,San Francisco,US,94102
115727,expedia,Hotel Union Square,114 Powell St,San Francisco,US,94102
115728,expedia,Kensington Park Hotel,450 Post St,San Francisco,US,94102
115993,expedia,Best Western Hotel California,580 Geary St,San Francisco,US,94102
114335,expedia,Handlery Union Square Hotel,351 Geary St,San Francisco,US,94102
116987,expedia,Hotel Nikko San Francisco,222 Mason St,San Francisco,US,94102
115718,expedia,"Hotel Triton, a Kimpton Hotel",342 Grant Ave,San Francisco,US,94108
120243,expedia,San Francisco Marriott Marquis,55 4th St,San Francisco,US,94103
118176,expedia,Beresford Arms Hotel,701 Post Street,San Francisco,US,94109
118494,expedia,"Prescott Hotel, a Kimpton Hotel",545 Post St,San Francisco,US,94102
121924,expedia,Hotel Majestic,1500 Sutter St,San Francisco,US,94109
119457,expedia,"Hotel Monaco San Francisco, a Kimpton Hotel",501 Geary St,San Francisco,US,94102
122274,expedia,The Mosser,54 4th Street,San Francisco,US,94103
120016,expedia,Hotel Boheme,444 Columbus Ave,San Francisco,US,94133
122680,expedia,DAYS INN SAN FRANCISCO,2600 Sloat Blvd,San Francisco,US,94116
